Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,142.7,-85.85,45.0,top
C2,100nF,C_0402_1005Metric,147.8,-92.05,90.0,top
C3,100nF,C_0402_1005Metric,133.95,-92.8,135.0,top
C4,100nF,C_0402_1005Metric,139.039411,-97.389411,-45.0,top
C5,100nF,C_0402_1005Metric,141.939411,-85.110589,45.0,top
C6,4.7uF,C_1206_3216Metric,134.45,-90.8,135.0,top
C7,10uF,C_0805_2012Metric,140.8,-99.9,180.0,top
C8,10uF,C_0805_2012Metric,140.8,-102.4,180.0,top
C9,100nF,C_0402_1005Metric,135.87,-85.85,135.0,top
C10,10pF,C_0402_1005Metric,133.65,-95.45,45.0,top
C11,10pF,C_0402_1005Metric,137.35,-99.15,-135.0,top
D1,LED_GREEN,LED_0603_1608Metric,147.5,-87.95,-90.0,top
R1,5.1k,R_0402_1005Metric,147.5,-85.35,90.0,top
U1,HT7533-1-SOT89,SOT-89-3,145.65,-100.7,180.0,top
U2,STM32F103C8Tx,LQFP-48_7x7mm_P0.5mm,141.9,-92.05,315.0,top
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,135.5,-97.3,-45.0,top
